status,product_area,response,justification,request_type
replied,community,"Relevant article: Certifications FAQs. Certifications FAQs _Last updated: Apr 1, 2026, 2:32 PM (Last updated 4 weeks ago)_ **Can I update the name on my certificate?** Yes. You can update the name on your certificate only once per account. When you update your name, the change applies to all your certificates.",Answered using local HackerRank support documentation: Certifications FAQs.,product_issue
replied,dispute_resolution,Relevant article: Dispute Resolution. Step 1: A cardholder disputes a transaction A cardholder contacts their issuer to question a charge on their billing statement.,Answered using local Visa support documentation: Dispute Resolution.,product_issue
escalated,safeguards,"Escalate to a human support specialist because the request involves security, fraud, or identity-theft risk.",Human review required due to: security_or_fraud.,product_issue
replied,privacy,"Relevant article: Does Anthropic crawl data from the web, and how can site owners block the crawler?. > You can be notified of substantial changes to this article by clicking here and completing the form: > > Subscribe to updates","Answered using local Claude support documentation: Does Anthropic crawl data from the web, and how can site owners block the crawler?.",product_issue
escalated,general_support,"Escalate to a human support specialist because the request involves refunds, cash, or payment action that the agent cannot perform.",Human review required due to: money_or_refund.,product_issue
replied,privacy,Relevant article: I would like to input sensitive data into my chats with Claude. Who can view my conversations?. **Privacy Protections We Provide** - We automatically de-link your data from your user ID (like your email address) before any review. - Access is limited to a small number of personnel involved in model training. - We will use tools and processes derived from our work on privacy-preserving analysis tools to filter or obfuscate sensitive data.,Answered using local Claude support documentation: I would like to input sensitive data into my chats with Claude. Who can view my conversations?.,product_issue
replied,,I cannot provide destructive system commands. This request is outside the supported product-help scope.,The ticket is out of scope or contains unsafe/non-support content.,invalid
replied,fraud_protection,"This request is outside the supported product-help scope, so I cannot answer it from the provided support corpus.",The ticket is out of scope or contains unsafe/non-support content.,invalid
replied,amazon_bedrock,"Relevant article: I use Claude in Amazon Bedrock. Who do I contact for customer support inquiries?. I use Claude in Amazon Bedrock. Who do I contact for customer support inquiries? _Last updated: 2026-03-16T21:17:13Z_ Contact AWS Support for Claude in Amazon Bedrock support inquiries or reach out to your AWS account manager. For community-based support, visit AWS re:Post.",Answered using local Claude support documentation: I use Claude in Amazon Bedrock. Who do I contact for customer support inquiries?.,bug
replied,settings,Relevant article: Team Member Status. Steps to Identify Team Member Status 1. **Access Teams Management** - Log in to your **HackerRank for Work** account. - Click the **arrow** next to the user icon in the top-right corner of the homepage.,Answered using local HackerRank support documentation: Team Member Status.,product_issue
replied,education,Relevant article: FAQs on Using Claude for Education at Your University. Using Claude.ai Review the following resources to help you get the most out of your usage with Claude:,Answered using local Claude support documentation: FAQs on Using Claude for Education at Your University.,product_issue
replied,general_support,"Relevant article: Visa Consumer Support. Can a merchant set a maximum or minimum limit for using my Visa card? In general, a merchant is not permitted to establish a minimum or maximum amount for a Visa transaction. However, exceptions apply in the USA and US territories – like Puerto Rico, the US Virgin Islands and Guam.",Answered using local Visa support documentation: Visa Consumer Support.,product_issue
